Turbidity,Ordinal,Year
0.61,177,2022
0.62,178,2022
0.65,179,2022
0.82,180,2022
0.7,181,2022
0.67,182,2022
0.79,183,2022
0.92,184,2022
1.01,185,2022
0.99,186,2022
1.05,187,2022
1.04,188,2022
1.18,189,2022
1.45,190,2022
1.52,191,2022
1.56,192,2022
1.78,193,2022
1.78,194,2022
1.83,195,2022
1.95,196,2022
2.13,197,2022
2.32,198,2022
2.71,199,2022
2.87,200,2022
2.88,201,2022
3.41,202,2022
3.36,203,2022
3.56,204,2022
3.5,205,2022
3.48,206,2022
3.78,207,2022
3.87,208,2022
4.38,209,2022
4.82,210,2022
5.23,211,2022
5.7,212,2022
5.88,213,2022
6.72,214,2022
7.05,215,2022
6.92,216,2022
7.02,217,2022
6.65,218,2022
6.56,219,2022
6.54,220,2022
6.5,221,2022
6.85,222,2022
6.71,223,2022
6.79,224,2022
7,225,2022
7.55,226,2022
7.32,227,2022
7.37,228,2022
7.35,229,2022
7.32,230,2022
7.75,231,2022
7.61,232,2022
8.27,233,2022
8.82,234,2022
8.94,235,2022
8.75,236,2022
9.33,237,2022
9.19,238,2022
9,239,2022
9.12,240,2022
9.02,241,2022
8.64,242,2022
8.56,243,2022
8.23,244,2022
8.06,245,2022
7.64,246,2022
7.56,247,2022
7.29,248,2022
7.46,249,2022
7.08,250,2022
6.92,251,2022
6.58,252,2022
6.19,253,2022
5.84,254,2022
5.75,255,2022
5.45,256,2022
5.01,257,2022
5.13,258,2022
4.8,259,2022
4.72,260,2022
4.5,261,2022
4.32,262,2022
4.06,263,2022
3.92,264,2022
3.67,265,2022
3.49,266,2022
3.43,267,2022
3.34,268,2022
3.26,269,2022
2.95,270,2022
2.78,271,2022
2.56,272,2022
2.39,273,2022
2.27,274,2022
2.21,275,2022
2.11,276,2022
2.13,277,2022
2.14,278,2022
2.06,279,2022
1.97,280,2022
1.98,281,2022
1.99,282,2022
