Turbidity,Ordinal,Year
2.731,197,2022
3.131,198,2022
3.476,199,2022
3.725,200,2022
3.607,201,2022
3.646,202,2022
3.911,203,2022
3.825,204,2022
3.751,205,2022
3.782,206,2022
4.068,207,2022
4.266,208,2022
4.714,209,2022
5.793,210,2022
6.31,211,2022
7.373,212,2022
9.173,213,2022
10.091,214,2022
10.887,215,2022
11.089,216,2022
10.365,217,2022
9.319,218,2022
9.423,219,2022
8.636,220,2022
8.008,221,2022
7.702,222,2022
7.48,223,2022
8.6,224,2022
9.476,225,2022
8.911,226,2022
8.468,227,2022
8.712,228,2022
8.445,229,2022
9.507,230,2022
9.802,231,2022
10.215,232,2022
9.634,233,2022
9.622,234,2022
9.767,235,2022
9.078,236,2022
8.482,237,2022
8.465,238,2022
8.605,239,2022
9.072,240,2022
8.269,241,2022
7.927,242,2022
7.637,243,2022
7.837,244,2022
7.763,245,2022
7.602,246,2022
7.357,247,2022
7.179,248,2022
6.983,249,2022
6.401,250,2022
6.193,251,2022
5.951,252,2022
5.553,253,2022
5.25,254,2022
5.101,255,2022
4.656,256,2022
4.506,257,2022
4.541,258,2022
4.215,259,2022
3.916,260,2022
3.743,261,2022
3.6,262,2022
3.39,263,2022
3.248,264,2022
3.089,265,2022
2.913,266,2022
2.724,267,2022
2.53,268,2022
2.445,269,2022
2.376,270,2022
2.283,271,2022
2.16,273,2022
2.067,274,2022
2.065,275,2022
1.957,276,2022
1.916,277,2022
1.886,278,2022
1.773,279,2022
1.739,280,2022
1.713,281,2022
