Date,Blue,Green,Red
2019/7/21,0.014,0.0182,0.0012
2019/8/5,0.0543,0.0589,0.0098
2019/8/8,0.0165,0.0159,0.0056
2019/8/20,0.0488,0.049,0.0095
2019/9/7,0.038,0.039,0.0151
2019/9/17,0.0306,0.045,0.0475
2019/9/19,0.0209,0.0236,0.0082
2020/7/18,0.0678,0.0613,0.035
2020/7/23,0.0872,0.0855,0.0462
2020/7/28,0.0645,0.0694,0.0158
2020/7/30,0.0552,0.0631,0.0048
2020/8/4,0.0949,0.112,0.0217
2020/8/12,0.0788,0.1019,0.0268
2020/8/27,0.0363,0.0324,0.0124
2020/9/11,0.0345,0.0344,0.0066
2020/9/21,0.0404,0.0405,0.0388
2020/10/3,0.0189,0.0318,0.0203
2021/7/8,0.085,0.0872,0.0161
2021/7/18,0.0753,0.0832,0.0203
2021/7/20,0.0777,0.0785,0.0241
2021/7/25,0.096,0.1012,0.058
2021/7/30,0.0952,0.0935,0.0584
2021/8/12,0.0276,0.0279,0.0062
2021/8/24,0.0072,0.0144,0.0003
2021/8/29,0.0303,0.033,0.0165
2021/9/3,0.0133,0.0154,0.0062
2021/9/26,0.0339,0.0298,0.0185
2021/10/8,0.0637,0.0672,0.052
2022/7/20,0.0862,0.0736,0.0126
2022/7/25,0.0902,0.0742,0.0214
2022/8/7,0.0414,0.0436,0.0102
2022/8/9,0.0326,0.032,0.0021
2022/8/12,0.0332,0.0314,0.0051
2022/8/14,0.0376,0.0322,0.0034
2022/8/19,0.0196,0.087,0.064
2022/9/3,0.0742,0.0677,0.0446
2022/9/11,0.0324,0.0358,0.0206
2022/9/18,0.0117,0.0176,0.0044
2022/9/21,0.0062,0.0167,0.003
2022/9/26,0.0134,0.0189,0.007
2022/9/28,0.0242,0.031,0.0202
2022/10/1,0.0107,0.0153,0.0046
2022/10/3,0.0158,0.0255,0.0117
2022/10/6,0.0046,0.0007,0.0006
2022/10/8,0.0142,0.021,0.0076
2022/10/11,0.0125,0.0251,0.0096
2022/10/13,0.054,0.0616,0.0524
