Date,Dominant Wavelength(nm)
2019/7/21,552
2019/8/5,547
2019/8/8,548
2019/8/20,542
2019/9/7,554
2019/9/17,576
2019/9/19,577
2020/7/18,555
2020/7/23,558
2020/7/28,549
2020/7/30,545
2020/8/4,553
2020/8/12,559
2020/8/27,543
2020/9/11,541
2020/9/21,570
2020/10/3,571
2021/7/8,543
2021/7/18,552
2021/7/20,549
2021/7/25,562
2021/7/30,561
2021/8/12,544
2021/8/24,561
2021/8/29,561
2021/9/3,560
2021/9/26,555
2021/10/8,567
2022/7/20,521
2022/7/25,525
2022/8/7,548
2022/8/9,530
2022/8/12,533
2022/8/14,517
2022/8/19,576
2022/9/3,559
2022/9/11,564
2022/9/18,562
2022/9/21,568
2022/9/26,564
2022/9/28,568
2022/10/1,562
2022/10/3,568
2022/10/6,488
2022/10/8,565
2022/10/11,569
2022/10/13,570
